name,filter,mjd,flux,flux_err,zp,zpsys
03D1aw,sdssr,52968.37,0.5744,0.20668000000000003,25,bd17
03D1aw,sdssi,52972.27,-0.0033068000000000004,0.31629999999999997,25,bd17
03D1aw,sdssi,52990.26,0.80967,0.19589,25,bd17
03D1aw,sdssr,52990.34,0.31159000000000003,0.19659000000000001,25,bd17
03D1aw,sdssi,52992.24,0.6080300000000001,0.21765,25,bd17
03D1aw,sdssr,52992.29,0.048204000000000004,0.16112,25,bd17
03D1aw,sdssg,52992.33,0.071406,0.10435,25,bd17
03D1aw,sdssi,52995.35,0.50341,0.23002,25,bd17
03D1aw,sdssr,52995.39,0.28962,0.15267,25,bd17
03D1aw,sdssi,52999.24,0.3344,0.20195999999999997,25,bd17
03D1aw,sdssr,52999.28,0.30889,0.14733,25,bd17
03D1aw,sdssg,52999.32,0.024950999999999997,0.09233000000000001,25,bd17
03D1aw,sdssz,52999.36,2.3134,1.1379000000000001,25,bd17
03D1aw,sdssz,53000.24,0.8978299999999999,0.57875,25,bd17
03D1aw,sdssi,53018.26,0.53384,0.19131,25,bd17
03D1aw,sdssr,53018.32,0.022033999999999998,0.17541,25,bd17
03D1aw,sdssi,53022.28,0.3404,0.23335,25,bd17
03D1aw,sdssr,53022.32,0.23939,0.42652999999999996,25,bd17
03D1aw,sdssr,53023.23,0.32811,0.12575999999999998,25,bd17
03D1aw,sdssi,53026.27,0.46318000000000004,0.19954,25,bd17
03D1aw,sdssr,53026.34,-0.04303,0.138,25,bd17
03D1aw,sdssr,53207.6,0.29609,0.16085999999999998,25,bd17
03D1aw,sdssi,53210.6,0.24603000000000003,0.19835999999999998,25,bd17
03D1ax,sdssg,52880.58,-0.029316,0.07269,25,bd17
03D1ax,sdssi,52881.5,-0.18387,0.20363,25,bd17
03D1ax,sdssr,52881.54,0.14859999999999998,0.10587999999999999,25,bd17
03D1ax,sdssz,52881.56,-0.05476,0.66777,25,bd17
03D1ax,sdssi,52886.6,0.48158,0.24006999999999998,25,bd17
03D1ax,sdssg,52900.5,1.7521,0.16527999999999998,25,bd17
03D1ax,sdssi,52900.53,4.3651,0.20929000000000003,25,bd17
03D1ax,sdssr,52900.56,4.1764,0.18875999999999998,25,bd17
03D1ax,sdssz,52900.59,4.4596,0.9538899999999999,25,bd17
03D1ax,sdssi,52904.53,7.0932,0.17759,25,bd17
03D1ax,sdssr,52904.57,6.7124,0.16135000000000002,25,bd17
03D1ax,sdssg,52904.6,3.4904,0.094026,25,bd17
03D1ax,sdssg,52908.53,4.3645,0.099065,25,bd17
03D1ax,sdssr,52908.56,9.4018,0.13755,25,bd17
03D1ax,sdssi,52908.6,10.017000000000001,0.20831,25,bd17
03D1ax,sdssz,52909.61,12.749,0.86167,25,bd17
03D1ax,sdssi,52912.49,11.418,0.2,25,bd17
03D1ax,sdssr,52914.58,10.735999999999999,0.22063000000000002,25,bd17
03D1ax,sdssi,52915.62,11.987,0.27497,25,bd17
03D1ax,sdssr,52916.46,11.327,0.12537,25,bd17
03D1ax,sdssi,52929.44,9.1012,0.30348,25,bd17
03D1ax,sdssr,52929.52,6.521699999999999,0.50735,25,bd17
03D1ax,sdssr,52930.37,6.0142,0.1905,25,bd17
03D1ax,sdssg,52930.39,1.2057,0.08778999999999999,25,bd17
03D1ax,sdssz,52930.41,8.870800000000001,0.8168000000000001,25,bd17
03D1ax,sdssi,52933.47,7.8933,0.15838,25,bd17
03D1ax,sdssr,52933.5,4.6761,0.26195999999999997,25,bd17
03D1ax,sdssr,52934.5,4.5373,0.12707000000000002,25,bd17
03D1ax,sdssg,52934.53,0.8451299999999999,0.0641,25,bd17
03D1ax,sdssi,52937.48,6.755199999999999,0.16882999999999998,25,bd17
03D1ax,sdssg,52937.55,0.57865,0.13570000000000002,25,bd17
03D1ax,sdssr,52937.57,2.9007,0.20681999999999998,25,bd17
03D1ax,sdssz,52938.51,5.7286,0.99925,25,bd17
03D1ax,sdssi,52942.47,4.8328,0.23236,25,bd17
03D1ax,sdssi,52944.35,4.689,0.21439,25,bd17
03D1ax,sdssg,52944.39,0.093917,0.14192,25,bd17
03D1ax,sdssr,52944.43,1.5758,0.15442,25,bd17
03D1ax,sdssz,52944.46,4.815799999999999,0.698,25,bd17
03D1ax,sdssi,52990.26,0.7756399999999999,0.22128,25,bd17
03D1ax,sdssr,52990.34,-0.5231100000000001,0.175,25,bd17
03D1ax,sdssi,52992.24,1.0698999999999999,0.23057,25,bd17
03D1ax,sdssr,52992.29,0.43971000000000005,0.14343,25,bd17
03D1ax,sdssg,52992.33,0.052073,0.11025,25,bd17
03D1ax,sdssi,52995.35,0.7862100000000001,0.22291999999999998,25,bd17
03D1ax,sdssr,52995.39,0.40843,0.14895999999999998,25,bd17
03D1ax,sdssi,52999.24,1.5267,0.20325,25,bd17
03D1ax,sdssr,52999.28,0.13656,0.1286,25,bd17
03D1ax,sdssg,52999.32,0.048775000000000006,0.099524,25,bd17
03D1ax,sdssz,52999.36,-0.9395299999999999,1.2207999999999999,25,bd17
03D1ax,sdssz,53000.24,-0.13433,0.6284399999999999,25,bd17
03D1ax,sdssi,53018.26,1.0478,0.19272999999999998,25,bd17
03D1ax,sdssr,53018.32,0.0028392,0.15930999999999998,25,bd17
03D1ax,sdssi,53022.28,1.0654000000000001,0.24319000000000002,25,bd17
03D1ax,sdssr,53022.32,-0.8144899999999999,0.31606,25,bd17
03D1ax,sdssr,53023.23,0.17608000000000001,0.11715,25,bd17
03D1ax,sdssi,53026.27,0.8828100000000001,0.19482,25,bd17
03D1ax,sdssr,53026.34,0.046923000000000006,0.13194,25,bd17
03D1ax,sdssr,53207.6,0.15182,0.15517999999999998,25,bd17
